stt,ten_san_pham,don_gia,so_luong
180,Snack da cá vị ớt xanh pati 50g,49000,4
181,Snack da cá vị trứng muối pati 50g,49000,3
182,KTC SLIDE vị thơm cay 60g,29000,2
183,Kẹo dẻo haribo happy cola 80g,32000,5
184,SCL kitkat đỏ 15g ( nhỏ ),13000,30
185,SCL kitkat trà xanh 17g,15000,16
186,Bánh quy oreo mini hương vani,20000,5
187,Kẹo trà sữa popit-vị nguyên bản,18000,5
188,Kẹo xốp haribo chamallows pink & white,35000,5
189,SCL milo choco nuggets 25g,30000,5
190,SCL sữa lúa mạch viên milo 67,5g,45000,5
191,Kẹo nhai vị cam 80g ( 96 lọ/thùng ),29000,12
192,Bánh mì sanwich lòng đỏ trứng muối ~ 30 gói/thùng,16000,8
193,Thạch bàn chân mèo vị hỗn hợp ( 30 cái/thùng ),31000,5
194,Chân gà rút xương hồng kong vị sốt thái 60g,30000,10
195,Măng tre bóc vỏ thủ công (vị ớt ngâm) ~ 50 gói/thùng,20000,5
196,Kẹo nhai vị dâu 80g ( 96 lọ/thùng ),29000,12
197,Trà đào hạt chia fuzetea 450ml,10000,6
198,Trà chanh dây hạt chia fuzetea 450ml,10000,6
199,Trà bí đao la hán quả fuzetea 450ml,10000,6
200,Trà cozy tắc mật ong 455ml,12000,6
